Date,Author,Text
10/14/2021 4:01,Sinopal42149381,Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020-2021.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/SLSl6sFRXg
10/14/2021 4:01,Thoughts_1_,"@_Nayanika27_ Basmi saja, sudah banyak korban pinjol."
10/14/2021 4:01,MossadNKRI,RT @pidressitubondo: Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2â€¦
10/14/2021 4:01,rabkawe,"@yteee_ coba pinjol trus gausah bayar, nnti rame kok yg mgechat"
10/14/2021 4:00,kalila_nesya,Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pinjol) ilegal.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/H6N9B9ufRO
10/14/2021 4:00,SalsabilaYuli18,Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020-2021.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/Xm0hkAfqkx
10/14/2021 4:00,VodderSS,"RT @Partono_ADjem: Sindikat mereka punya 17 aplikasi. Wowđź‘Źđź‘Źđź‘Ź  Kantor Pinjol Ilegal di Jakbar Digerebek, 56 Karyawan Diamankan Polisi! httpsâ€¦"
10/14/2021 4:00,kenyoooo,Biasanya kantornya model ruko tertutup gitu. Ternyata dalemnya tukang tagih pinjol. https://t.co/7czmjTdOVN
10/14/2021 4:00,sipooer,RT @tvOneNews: Wakil Ketua DPR RI: Aplikasi Pinjol Harus Di Hapus dari Android &amp; IOS https://t.co/h0XtLfID2c
10/14/2021 4:00,g3mb3s,RT @MelukisSunyi: Polres Metro Jakpus Grebek Sindikat Pinjol Unit Kriminal Khusus Satreskrim Polres Metro Jakarta Pusat menggerebek sebuahâ€¦
10/14/2021 4:00,LekMarteg,RT @humaspolsekkpt: Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian utk menindak tegas pinjaman online /pâ€¦
10/14/2021 4:00,PUjungloe,Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020-2021.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/uZ0iOY0mYr
10/14/2021 4:00,LekMarteg,@humaspolsekkpt @RonnyYulianto7 @RstmBcl @RiniNB_1046 @1802_kimmi @Even1508 @BPrima777 @RaniKancana_ @Salim_Semm Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian utk menindak tegas pinjaman online /pinjol ilegal  BRAVO POLRI đź‡˛đź‡¨đź‡˛đź‡¨  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/RA9XZ2588e
10/14/2021 4:00,hamaro_id,"RT @Aryprasetyo85: Kantor Pinjol Ilegal di Jakbar Digerebek, 56 Karyawan Diamankan Polisi!  Polres Metro Jakarta Pusat menggerebek kantor pâ€¦"
10/14/2021 4:00,AbdulArey1,@Dennysiregar7 @DivHumas_Polri Sebenar nya pinjol menjamur yg berawal dari sulit nya berupa pinjaman dari BANK. Banyak sayrat yg harus di tunaikan. Pdahal jika pemerintah bijak mensejahterakan rakyat tidak perlu mengunakan sarat berbelit2. Pemerintah tau apa yg di lakukan jangan mbri ruang rentnir.
10/14/2021 4:00,deklibs,"Fatum brutum amor fati, mlayune neng pinjol"
10/14/2021 4:00,Thoughts_1_,"RT @_Nayanika27_: Wakil Ketua DPR RI Sufmi Dasco, meminta pihak Polri dan OJK untuk menindak tegas maraknya penipuan Pinjol ilegal yg sudahâ€¦"
10/14/2021 4:00,MeilanNeville,Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pinjol) ilegal.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/n92DAP9hjV
